Ticker,Company_Name,Stock_Index
RTWG.L,RTW Venture Fund Ltd,FTSE_ALL
WIX.L,Wickes Group,FTSE_Small_Cap
NEXN.L,Nexxen International Ltd,FTSE_AIM
CSN.L,Chesnara,FTSE_Small_Cap
CLI.L,CLS Holdings,FTSE_Small_Cap
MWY.L,Mid Wynd International Inv Trust,FTSE_Small_Cap
NICL.L,Nichols,FTSE_AIM
HFEL.L,Henderson Far East Income Ltd,FTSE_Small_Cap
PZC.L,PZ Cussons,FTSE_250
BIG.L,Big Technologies,FTSE_AIM
AVON.L,Avon Technologies,FTSE_Small_Cap
IHR.L,Impact Healthcare REIT,FTSE_Small_Cap
CREI.L,Custodian Reit,FTSE_Small_Cap
WHR.L,Warehouse REIT,FTSE_Small_Cap
FAS.L,Fidelity Asian Values,FTSE_Small_Cap
TLW.L,Tullow Oil,FTSE_Small_Cap
PTAL.L,PetroTal Corp,FTSE_AIM
PRTC.L,Puretech Health,FTSE_250
GLE.L,MJ Gleeson,FTSE_Small_Cap
AUSC.L,Abrdn UK Smaller Companies Growth Trust,FTSE_Small_Cap
MER.L,Mears Group,FTSE_Small_Cap
NAVF.L,Nippon Active Value Fund,FTSE_Small_Cap
CHRT.L,Cohort,FTSE_AIM
WIL.L,Wilmington,FTSE_ALL
SBRE.L,Sabre Insurance Group,FTSE_Small_Cap
FORT.L,Forterra,FTSE_Small_Cap
TM17.L,Team17 Group,FTSE_AIM
SST.L,Scottish Oriental Smaller Companies Trust,FTSE_Small_Cap
MTVW.L,Mountview Estates,FTSE_ALL
SAVE.L,Savannah Energy,FTSE_AIM
BIPS.L,Invesco Bond Income Plus Ltd,FTSE_Small_Cap
BGS.L,Baillie Gifford Shin Nippon,FTSE_Small_Cap
CPI.L,Capita,FTSE_Small_Cap
AAIF.L,Abrdn Asian Income Fund Ltd,FTSE_Small_Cap
FRP.L,FRP Advisory Group,FTSE_AIM
LWI.L,Lowland Investment Co,FTSE_Small_Cap
VIC.L,Victorian Plumbing Group,FTSE_AIM
CGEO.L,Georgia Capital,FTSE_ALL
XPP.L,XP Power Ltd,FTSE_Small_Cap
LIO.L,Liontrust Asset Management,FTSE_Small_Cap
RST.L,Restore,FTSE_AIM
CAML.L,Central Asia Metals,FTSE_AIM
TIG.L,Team Internet Group,FTSE_AIM
CARD.L,Card Factory,FTSE_Small_Cap
IPF.L,International Personal Finance,FTSE_Small_Cap
BIOG.L,Biotech Growth Trust,FTSE_Small_Cap
MIDW.L,Midwich Group,FTSE_AIM
CTUK.L,Ct UK Capital And Income Investment Trust,FTSE_Small_Cap
HINT.L,Henderson International Income Trust,FTSE_Small_Cap
HFD.L,Halfords Group,FTSE_Small_Cap
GFRD.L,Galliford Try Holdings,FTSE_Small_Cap
LSL.L,LSL Property Services,FTSE_Small_Cap
BGEU.L,Baillie Gifford European Growth Trust,FTSE_Small_Cap
CTPE.L,Ct Private Equity Trust,FTSE_Small_Cap
STS.L,STS Global Income & Growth Trust,FTSE_Small_Cap
DFS.L,DFS Furniture,FTSE_Small_Cap
CGL.L,Castelnau Group Ltd,FTSE_ALL
BOOT.L,Boot (Henry),FTSE_Small_Cap
PRV.L,Porvair,FTSE_Small_Cap
ELIX.L,Elixirr International,FTSE_AIM
MRL.L,Marlowe,FTSE_AIM
SYNT.L,Synthomer,FTSE_Small_Cap
JAGI.L,JPMorgan Asia Growth & Income,FTSE_Small_Cap
HOME.L,Home Reit,FTSE_ALL
EAT.L,European Assets Trust NV,FTSE_Small_Cap
BMK.L,Benchmark Holdings,FTSE_AIM
GSEO.L,VH Global Sustainable Energy Opportunities,FTSE_Small_Cap
SJG.L,Schroder Japan Growth Fund,FTSE_Small_Cap
ITM.L,ITM Power,FTSE_AIM
GRID.L,Gresham House Energy Storage Fund,FTSE_ALL
MXCT.L,Maxcyte Inc,FTSE_AIM
KMR.L,Kenmare Resources,FTSE_Small_Cap
EVOK.L,Evoke,FTSE_Small_Cap
NCYF.L,CQS New City High Yield Fund Ltd,FTSE_Small_Cap
GKP.L,Gulf Keystone Petroleum Ltd,FTSE_ALL
CABP.L,Cab Payments Holdings,FTSE_Small_Cap
BRK.L,Brooks Macdonald Group,FTSE_AIM
RCH.L,Reach,FTSE_Small_Cap
BOOK.L,Literacy Capital,FTSE_ALL
GFM.L,Griffin Mining Ltd,FTSE_AIM
GYM.L,The Gym Group,FTSE_Small_Cap
RECI.L,Real Estate Credit Investment PCC Ltd,FTSE_Small_Cap
GSF.L,Gore Street Energy Storage Fund,FTSE_Small_Cap
IDOX.L,IDOX,FTSE_AIM
NIOX.L,Niox Group,FTSE_AIM
LGRS.L,Loungers,FTSE_AIM
SOLG.L,SolGold,FTSE_ALL
LTHM.L,Latham (James),FTSE_AIM
LBG.L,LBG Media,FTSE_AIM
BRFI.L,Blackrock Frontiers Investment Trust,FTSE_Small_Cap
HHI.L,Henderson High Income Trust,FTSE_Small_Cap
FRAN.L,Franchise Brands,FTSE_AIM
TPFG.L,Property Franchise Group,FTSE_AIM
MTE.L,Montanaro European Smaller Companies Trust,FTSE_Small_Cap
COST.L,Costain Group,FTSE_Small_Cap
MARS.L,Marston's,FTSE_Small_Cap
IIG.L,Intuitive Investments Group,FTSE_ALL
DOTD.L,Dotdigital Group,FTSE_AIM
FSTA.L,Fuller Smith & Turner,FTSE_Small_Cap
FNTL.L,Fintel,FTSE_AIM
KITW.L,Kitwave Group,FTSE_AIM
MNL.L,Manchester & London Investment Trust,FTSE_Small_Cap
FXPO.L,Ferrexpo,FTSE_Small_Cap
RCDO.L,Ricardo,FTSE_Small_Cap
HLCL.L,Helical,FTSE_Small_Cap
YU.L,Yu Group,FTSE_AIM
PINE.L,Pinewood Technologies Group,FTSE_Small_Cap
TET.L,Treatt,FTSE_Small_Cap
NRR.L,NewRiver REIT,FTSE_Small_Cap
SREI.L,Schroder Real Estate Investment Trust Ltd,FTSE_Small_Cap
SOHO.L,Triple Point Social Housing REIT,FTSE_Small_Cap
